Routes Data:
           route_id  agency_id route_short_name route_long_name  route_type
132   2-502-M-j25-1          1            502-M             NaN           2
133   2-524-A-j25-1          1            524-A             NaN           2
134   2-530-M-j25-1          1            530-M             NaN           2
135   2-600-M-j25-1          1            600-M             NaN           2
136   2-902-W-j25-1          1            902-W             NaN           2
137   2-907-W-j25-1          1            907-W             NaN           2
138   2-960-A-j25-1          1            960-A             NaN           2
139   2-CX9-W-j25-1          1             CJX9            CJX9           2
140   2-R21-X-j25-1          1            REX21           REX21           2
141   2-R33-O-j25-1          1            REX33           REX33           2
142   2-R41-W-j25-1          1            REX41           REX41           2
143   2-R42-O-j25-1          1            REX42           REX42           2
144   2-R44-N-j25-1          1            REX44           REX44           2
145   2-R50-O-j25-1          1            REX50           REX50           2
146   2-R50-W-j25-1          1            REX50           REX50           2
147   2-R51-A-j25-1          1            REX51           REX51           2
148   2-R51-O-j25-1          1            REX51           REX51           2
149   2-R53-A-j25-1          1            REX53           REX53           2
150   2-R57-N-j25-1          1            REX57           REX57           2
151     2-R58-j25-1          1            REX58           REX58           2
152   2-R62-N-j25-1          1            REX62           REX62           2
153   2-R63-N-j25-1          1            REX63           REX63           2
154   2-R64-N-j25-1          1            REX64           REX64           2
155    2-R6-T-j25-1          1               R6              R6           2
156   2-R70-O-j25-1          1            REX70           REX70           2
157   2-R72-O-j25-1          1            REX72           REX72           2
158   2-R81-W-j25-1          1            REX81           REX81           2
159   2-R92-N-j25-1          1            REX92           REX92           2
160   2-R93-A-j25-1          1            REX93           REX93           2
161   2-R97-N-j25-1          1            REX97           REX97           2
162     2-RW4-j25-1          1             REX4            REX4           2
163   2-RX1-K-j25-1          1             REX1            REX1           2
164   2-RX1-N-j25-1          1              RX1             RX1           2
165   2-RX1-O-j25-1          1             REX1            REX1           2
166   2-RX1-T-j25-1          1             REX1            REX1           2
167   2-RX1-V-j25-1          1             REX1            REX1           2
168   2-RX1-W-j25-1          1             REX1            REX1           2
169   2-RX2-S-j25-1          1             REX2            REX2           2
170   2-RX2-T-j25-1          1             REX2            REX2           2
171   2-RX2-W-j25-1          1             REX2            REX2           2
172   2-RX3-K-j25-1          1             REX3            REX3           2
173   2-RX3-O-j25-1          1             REX3            REX3           2
174   2-RX3-T-j25-1          1             REX3            REX3           2
175   2-RX3-W-j25-1          1             REX3            REX3           2
176   2-RX4-K-j25-1          1             REX4            REX4           2
177   2-RX4-O-j25-1          1             REX4            REX4           2
178   2-RX4-T-j25-1          1             REX4            REX4           2
